5,4,5
2,5,8
2,9,1
2,9,1
1,5,3
10,5,8
1,4,7
1,1,2
5,3,7
1,2,8
21,8,5
13,5,7
2,9,4
1,7,4
5,1,4
1,5,7
2,2,7
1,3,2
1,1,6
7,5,9
16,7,4
7,9,3
1,7,5
1,3,8
3,2,7
1,8,9
3,3,6
21,4,9
1,5,7
4,4,9
8,6,3
6,7,1
12,9,8
6,7,2
3,6,5
1,6,9
4,8,6
3,8,5
4,1,8
4,6,1
2,1,3
1,5,8
2,2,8
5,8,3
4,2,7
5,8,1
2,1,7
1,8,2
2,1,7
11,9,2
1,8,5
2,9,4
3,9,5
2,5,1
6,5,8
2,4,2
1,5,6
7,1,8
2,2,7
13,8,1
16,3,1
3,2,1
12,7,6
15,1,8
2,3,8
16,1,2
24,2,8
1,1,5
1,5,8
3,6,7
26,8,3
20,3,9
1,2,9
16,9,3
14,3,1
13,1,6
3,3,4
3,9,4
1,7,8
5,8,2
8,8,5
18,6,1
4,8,5
6,4,1
2,2,5
5,3,8
5,8,7
2,5,8
5,5,4
3,2,8
22,1,2
1,1,2
5,8,2
2,5,2
1,1,6
5,5,2
1,9,8
5,4,1
6,6,9
3,1,9
1,1,7
8,9,6
6,7,1
5,6,5
27,2,1
4,5,7
9,1,5
1,9,1
3,6,2
9,2,1
2,7,2
1,8,7
10,5,9
1,9,7
25,1,8
6,7,4
11,1,7
3,8,1
3,2,6
3,8,9
11,8,6
1,2,6
12,6,4
13,4,5
1,6,1
3,7,5
5,8,7
1,7,1
5,1,6
3,6,4
3,8,6
2,5,2
12,5,9
5,6,2
2,5,9
6,4,9
11,7,3
1,2,5
1,7,8
1,5,7
1,7,1
1,8,1
2,4,7
2,6,8
5,3,6
2,7,2
2,2,9
1,2,9
1,1,6
35,9,7
2,8,7
3,3,8
5,2,4
3,3,7
2,4,7
4,6,5
4,5,9
3,4,5
1,8,3
4,9,8
1,9,6
38,7,2
1,3,5
1,1,7
4,7,3
3,6,1
22,2,7
1,5,8
7,8,4
8,2,8
3,5,1
4,3,9
1,8,3
1,3,7
2,2,3
5,8,9
3,9,1
2,1,7
6,2,3
6,3,1
2,3,6
1,6,1
14,7,2
4,1,6
8,1,3
4,3,6
3,9,5
1,8,6
1,8,4
9,7,1
8,2,4
4,2,9
2,2,1
3,5,8
1,8,6
1,7,8
1,6,5
3,9,5
2,9,5
4,3,9
3,6,3
3,6,9
9,4,1
1,9,8
3,3,6
2,7,4
4,8,5
7,5,6
19,1,9
5,9,3
2,1,6
1,4,6
4,3,2
21,9,7
1,1,2
1,9,1
1,1,8
16,7,6
24,6,5
7,4,5
1,8,3
2,2,8
31,5,8
1,4,6
2,6,9
1,7,4
3,7,9
1,4,8
2,3,5
1,2,3
1,3,7
1,7,9
24,8,6
1,8,1
30,6,1
2,5,2
1,6,9
6,9,7
1,6,4
1,4,6
23,1,3
21,3,4
4,2,6
3,6,1
1,5,1
4,1,9
3,9,6
8,1,6
4,8,5
2,7,5
7,4,3
3,4,9
9,3,9
1,7,6
6,5,8
14,6,2
4,8,4
7,4,5
1,7,9
6,4,3
13,2,6
5,3,7
1,3,8
1,8,2
4,8,3
6,6,4
2,2,8
5,4,7
3,7,5
1,7,9
2,3,9
3,7,3
1,7,9
1,7,9
3,4,1
6,6,1
2,7,5
1,3,5
11,9,4
9,4,5
3,3,4
1,3,9
2,8,1
9,1,8
22,5,8
2,1,3
3,4,6
14,8,9
1,3,9
19,9,3
3,9,4
2,7,2
1,4,6
1,3,8
8,3,1
2,9,6
1,2,5
3,4,9
1,2,3
20,8,3
4,9,5
1,4,2
26,3,5
1,8,3
8,1,4
1,3,7
1,2,1
1,1,6
1,6,7
4,5,3
3,4,2
5,5,3
2,2,6
3,3,5
2,4,8
5,3,9
5,9,8
19,5,9
1,5,2
2,7,1
1,1,7
1,7,4
13,9,3
8,6,2
10,3,5
14,5,4
7,8,4
1,6,2
6,3,8
4,9,7
2,9,8
1,7,1
3,2,7
1,5,3
7,8,6
5,6,2
